Date,Volume
12/19/2016 16:00:00,34338219
12/20/2016 16:00:00,26028379
12/21/2016 16:00:00,17096304
12/22/2016 16:00:00,22176585
12/23/2016 16:00:00,12403819
12/27/2016 16:00:00,11763173
12/28/2016 16:00:00,14653348
12/29/2016 16:00:00,10250582
12/30/2016 16:00:00,25579908
1/3/2017 16:00:00,20694101
1/4/2017 16:00:00,21339969
1/5/2017 16:00:00,24875968
1/6/2017 16:00:00,19922919
1/9/2017 16:00:00,20382730
1/10/2017 16:00:00,18593004
1/11/2017 16:00:00,21517335
1/12/2017 16:00:00,20968223
1/13/2017 16:00:00,19422310
1/17/2017 16:00:00,20663983
1/18/2017 16:00:00,19670102
1/19/2017 16:00:00,18451655
1/20/2017 16:00:00,30213462
1/23/2017 16:00:00,23097581
1/24/2017 16:00:00,24672940
1/25/2017 16:00:00,24654933
1/26/2017 16:00:00,43554645
1/27/2017 16:00:00,44817972
1/30/2017 16:00:00,31651445
1/31/2017 16:00:00,25270549
2/1/2017 16:00:00,39671528
2/2/2017 16:00:00,45827013
2/3/2017 16:00:00,30301759
2/6/2017 16:00:00,19796360
2/7/2017 16:00:00,20277226
2/8/2017 16:00:00,18096358
2/9/2017 16:00:00,22644443
2/10/2017 16:00:00,18170729
2/13/2017 16:00:00,22920101
2/14/2017 16:00:00,23108426
2/15/2017 16:00:00,17005157
2/16/2017 16:00:00,20546345
2/17/2017 16:00:00,21248818
2/21/2017 16:00:00,20655869
2/22/2017 16:00:00,19292651
2/23/2017 16:00:00,20273128
2/24/2017 16:00:00,21796800
2/27/2017 16:00:00,15871507
2/28/2017 16:00:00,23239825
3/1/2017 16:00:00,26937459
3/2/2017 16:00:00,24539597
3/3/2017 16:00:00,18139405
3/6/2017 16:00:00,18750255
3/7/2017 16:00:00,18520987
3/8/2017 16:00:00,21510907
3/9/2017 16:00:00,19846832
3/10/2017 16:00:00,19538245
3/13/2017 16:00:00,20100035
3/14/2017 16:00:00,14280202
3/15/2017 16:00:00,24833810
3/16/2017 16:00:00,20674296
3/17/2017 16:00:00,49219686
3/20/2017 16:00:00,14598083
3/21/2017 16:00:00,26640480
3/22/2017 16:00:00,20680015
3/23/2017 16:00:00,19269203
3/24/2017 16:00:00,22617105
3/27/2017 16:00:00,18614662
3/28/2017 16:00:00,20080358
3/29/2017 16:00:00,13618424
3/30/2017 16:00:00,15122823
3/31/2017 16:00:00,21040331
4/3/2017 16:00:00,20400871
4/4/2017 16:00:00,12997449
4/5/2017 16:00:00,21448594
4/6/2017 16:00:00,18103453
4/7/2017 16:00:00,14108533
4/10/2017 16:00:00,17952742
4/11/2017 16:00:00,18791533
4/12/2017 16:00:00,17108513
4/13/2017 16:00:00,17896483
4/17/2017 16:00:00,16689265
4/18/2017 16:00:00,15155611
4/19/2017 16:00:00,26992771
4/20/2017 16:00:00,22299477
4/21/2017 16:00:00,32522645
4/24/2017 16:00:00,29769976
4/25/2017 16:00:00,30242730
4/26/2017 16:00:00,26190770
4/27/2017 16:00:00,34970953
4/28/2017 16:00:00,39548818
5/1/2017 16:00:00,31954362
5/2/2017 16:00:00,23906119
5/3/2017 16:00:00,28927973
5/4/2017 16:00:00,21749409
5/5/2017 16:00:00,19128782
5/8/2017 16:00:00,18566087
5/9/2017 16:00:00,22858414
5/10/2017 16:00:00,17977830
5/11/2017 16:00:00,28789413
5/12/2017 16:00:00,18714123
5/15/2017 16:00:00,31530301
5/16/2017 16:00:00,34956038
5/17/2017 16:00:00,30548781
5/18/2017 16:00:00,25201274
5/19/2017 16:00:00,26961119
5/22/2017 16:00:00,16237550
5/23/2017 16:00:00,15425824
5/24/2017 16:00:00,14666865
5/25/2017 16:00:00,21854095
5/26/2017 16:00:00,19827923
5/30/2017 16:00:00,17072838
5/31/2017 16:00:00,30436364
6/1/2017 16:00:00,21603601
6/2/2017 16:00:00,34770261
6/5/2017 16:00:00,33316760
6/6/2017 16:00:00,31511065
6/7/2017 16:00:00,22301765
6/8/2017 16:00:00,24588270
6/9/2017 16:00:00,49187396
6/12/2017 16:00:00,47761743
6/13/2017 16:00:00,25258614
6/14/2017 16:00:00,25510685
6/15/2017 16:00:00,26068709
6/16/2017 16:00:00,48345085
6/19/2017 16:00:00,23798268
6/20/2017 16:00:00,21512231
6/21/2017 16:00:00,19891051
6/22/2017 16:00:00,22965738
6/23/2017 16:00:00,27617291
6/26/2017 16:00:00,19606974
6/27/2017 16:00:00,25215128
6/28/2017 16:00:00,25806200
6/29/2017 16:00:00,28918715
6/30/2017 16:00:00,24161068
7/3/2017 16:00:00,16165538
7/5/2017 16:00:00,21176272
7/6/2017 16:00:00,21117572
7/7/2017 16:00:00,16878317
7/10/2017 16:00:00,15014503
7/11/2017 16:00:00,17460022
7/12/2017 16:00:00,17750925
7/13/2017 16:00:00,20269816
7/14/2017 16:00:00,25868086
7/17/2017 16:00:00,21803907
7/18/2017 16:00:00,26435296
7/19/2017 16:00:00,22416222
7/20/2017 16:00:00,42361025
7/21/2017 16:00:00,46717082
7/24/2017 16:00:00,21394826
7/25/2017 16:00:00,22018681
7/26/2017 16:00:00,16252233
7/27/2017 16:00:00,36844220
7/28/2017 16:00:00,18306680
7/31/2017 16:00:00,23600054
8/1/2017 16:00:00,20823890
8/2/2017 16:00:00,26499158
8/3/2017 16:00:00,18214424
8/4/2017 16:00:00,22578952
8/7/2017 16:00:00,18705681
8/8/2017 16:00:00,22044587
8/9/2017 16:00:00,22213410
8/10/2017 16:00:00,24734461
8/11/2017 16:00:00,21443675
8/14/2017 16:00:00,20096592
8/15/2017 16:00:00,19181402
8/16/2017 16:00:00,18150402
8/17/2017 16:00:00,22977519
8/18/2017 16:00:00,18761491
